Country_Code,GDP,year
KM,1037.00510726154,2003
KM,1035.39872091786,2002
KM,1033.51343021937,2001
KM,1030.93947568487,2000
KM,948.077367118187,1999
KM,946.902597436713,1998
KM,951.151466490866,1997
KM,930.186016212105,1996
KM,958.726199589545,1995
KM,941.525836670771,1994
KM,1011.72827202575,1993
KM,1000.29824887648,1992
KM,941.006198383295,1991
KM,1019.19559721551,1990
KM,995.555317484544,1989
KM,1056.09369084384,1988
KM,1056.63980992105,1987
KM,1068.56640049116,1986
KM,1078.59581109137,1985
KM,1084.47409823235,1984
KM,1071.16981060172,1983
KM,1050.78238258151,1982
KM,1015.47496830874,1981
KM,1005.65620754953,1980
KM,NA,1979
KM,NA,1978
KM,NA,1977
KM,NA,1976
KM,NA,1975
KM,NA,1974
KM,NA,1973
KM,NA,1972
KM,NA,1971
KM,NA,1970
KM,NA,1969
KM,NA,1968
KM,NA,1967
KM,NA,1966
KM,NA,1965
KM,NA,1964
KM,NA,1963
KM,NA,1962
KM,NA,1961
KM,NA,1960
DJ,2677.1650334451,2018
DJ,2596.45134698268,2017
DJ,2502.85181449431,2016
DJ,2376.12554719873,2015
DJ,2253.14082249768,2014
DJ,2140.13769442336,2013
DJ,NA,2012
DJ,NA,2011
DJ,NA,2010
DJ,NA,2009
DJ,NA,2008
DJ,NA,2007
DJ,NA,2006
DJ,NA,2005
DJ,NA,2004
DJ,NA,2003
DJ,NA,2002
DJ,NA,2001
DJ,NA,2000
DJ,NA,1999
DJ,NA,1998
DJ,NA,1997
DJ,NA,1996
DJ,NA,1995
DJ,NA,1994
DJ,NA,1993
DJ,NA,1992
DJ,NA,1991
DJ,NA,1990
DJ,NA,1989
DJ,NA,1988
DJ,NA,1987
DJ,NA,1986
DJ,NA,1985
DJ,NA,1984
DJ,NA,1983
DJ,NA,1982
DJ,NA,1981
DJ,NA,1980
DJ,NA,1979
DJ,NA,1978
DJ,NA,1977
DJ,NA,1976
DJ,NA,1975
DJ,NA,1974
DJ,NA,1973
DJ,NA,1972
DJ,NA,1971
DJ,NA,1970
DJ,NA,1969
DJ,NA,1968
DJ,NA,1967
DJ,NA,1966
DJ,NA,1965
DJ,NA,1964
DJ,NA,1963
DJ,NA,1962
DJ,NA,1961
DJ,NA,1960
EG,3568.63966286161,2018
EG,3452.90961245539,2017
EG,3381.22246306207,2016
EG,3306.98159414141,2015
EG,3235.66246235257,2014
EG,3216.3783902629,2013
EG,3220.99194203067,2012
EG,3222.37650111856,2011
EG,3233.84521246786,2010
EG,3135.09661303014,2009
EG,3052.21297844721,2008
EG,2902.06559804963,2007
EG,2761.62410769792,2006
EG,2635.70305227819,2005
EG,2574.42341789124,2004
EG,2524.80477192682,2003
EG,2498.48121191713,2002
EG,2492.03441188721,2001
EG,2458.60835003016,2000
EG,2361.86425101237,1999
EG,2277.28504834543,1998
EG,2204.66575942323,1997
EG,2133.64804177125,1996
EG,2074.8399114013,1995
EG,2024.95373805139,1994
EG,1989.9792002068,1993
EG,1979.02010131221,1992
EG,1940.10019358455,1991
EG,1972.13789303215,1990
EG,1921.85630400049,1989
EG,1882.26797772878,1988
EG,1835.1134262347,1987
EG,1817.07625746528,1986
EG,1785.07842980601,1985
EG,1738.32577314685,1984
EG,1632.38201364179,1983
EG,1599.40083221654,1982
EG,1495.85483053225,1981
EG,1431.40108168965,1980
EG,1335.53152120136,1979
EG,1309.77615131996,1978
EG,1235.69710073247,1977
EG,1160.79193679355,1976
EG,1048.96951157098,1975
EG,985.86207772329,1974
EG,993.429316293112,1973
EG,982.105208413219,1972
EG,975.172435736887,1971
EG,959.056055292103,1970
EG,930.030902264785,1969
EG,905.16466450931,1968
EG,942.860658091527,1967
EG,958.850656911766,1966
EG,935.954213451495,1965
EG,915.128632875069,1964
EG,842.326112348388,1963
EG,782.464128955335,1962
EG,773.359952691562,1961
EG,754.665127408056,1960
ER,NA,2018
ER,NA,2017
ER,NA,2016
ER,NA,2015
ER,NA,2014
ER,NA,2013
ER,NA,2012
ER,751.374899794668,2011
ER,703.877374381654,2010
ER,702.430936480778,2009
ER,693.398874212494,2008
ER,789.072701743247,2007
ER,789.402432018085,2006
ER,809.794793468889,2005
ER,808.591420184592,2004
ER,830.379672282601,2003
ER,889.009113592982,2002
ER,893.268735439193,2001
ER,845.132430060544,2000
ER,886.053679218386,1999
ER,899.082974199102,1998
ER,895.033773452053,1997
ER,838.660572635214,1996
ER,806.702995328956,1995
ER,829.915037227268,1994
ER,705.988405158037,1993
ER,642.072233527209,1992
ER,NA,1991
ER,NA,1990
ER,NA,1989
ER,NA,1988
ER,NA,1987
ER,NA,1986
ER,NA,1985
ER,NA,1984
ER,NA,1983
ER,NA,1982
ER,NA,1981
ER,NA,1980
ER,NA,1979
